Temperature,Humidity,Wind Speed,Wind Direction,Dew Point,Pressure,Precipitation,Visibility,Cloud Cover,Weather Event
29.96,61.79,3.59,314.86,21.43,1006.24,1.21,6.78,70.15,Cloudy
25.36,73.51,21.12,19.95,21.22,1009.09,4.67,9.41,12.97,Clear
26.03,81.66,25.37,188.63,23.4,1016.45,-3.56,8.0,5.03,Clear
22.34,58.25,29.54,363.45,17.86,1022.76,76.37,3.32,82.56,Thunderstorm
26.22,31.55,14.38,241.14,19.76,1022.91,79.31,2.96,75.8,Thunderstorm
28.99,65.41,9.43,263.86,25.99,1019.94,4.63,13.1,12.31,Clear
26.47,81.58,2.77,163.3,16.7,985.61,18.84,4.45,92.81,Thunderstorm
30.96,45.07,10.74,16.57,24.14,1015.79,-0.4,5.71,86.33,Cloudy
20.64,72.11,26.09,180.59,11.63,1028.62,22.81,5.28,89.37,Rain
-3.41,41.9,33.64,247.11,-9.8,1020.96,8.47,5.74,71.75,Snow
24.62,78.5,1.34,326.67,21.83,1015.32,29.64,5.8,82.72,Rain
23.21,59.22,13.3,102.03,18.77,1001.22,39.98,5.45,78.53,Rain
20.8,45.91,40.65,118.72,11.25,1008.13,-1.35,9.29,21.08,Clear
16.8,85.08,23.0,272.59,8.93,1020.15,6.15,10.08,70.47,Cloudy
20.36,82.43,12.77,36.18,18.01,995.39,-3.06,6.68,74.08,Rain
13.61,29.74,21.5,236.26,3.83,1016.04,37.21,3.88,76.31,Rain
27.47,36.27,10.31,262.06,24.05,1017.11,44.74,2.89,75.68,Thunderstorm
21.68,71.91,3.86,160.65,16.02,1029.86,-4.82,10.85,14.34,Clear
11.16,62.86,26.07,203.82,3.93,1019.53,52.96,2.4,67.24,Rain
28.96,53.28,2.82,90.01,21.62,1014.84,4.38,9.39,18.69,Clear
10.81,74.67,39.38,161.96,2.05,1014.1,6.35,-0.04,94.15,Fog
35.6,65.99,16.7,123.49,28.11,1023.18,0.02,8.49,13.48,Clear
15.68,77.11,1.55,239.53,7.48,1025.89,6.0,6.13,81.79,Cloudy
27.43,53.69,16.08,31.3,20.68,1008.48,1.38,7.09,64.5,Cloudy
33.18,83.8,37.16,213.47,27.23,1009.06,5.4,7.92,23.69,Clear
23.63,40.85,14.64,42.22,14.1,1031.71,4.69,7.82,90.31,Cloudy
6.23,60.29,31.91,5.79,-1.38,1015.6,33.23,5.14,73.87,Snow
33.91,95.94,23.83,350.61,29.84,1000.91,2.23,9.91,10.66,Clear
30.13,76.58,34.4,213.24,24.25,1027.03,-5.69,10.62,7.09,Clear
0.27,75.78,27.06,331.24,-9.16,1021.05,20.08,3.15,82.22,Snow
20.82,34.78,23.73,136.34,15.33,1007.16,-2.49,8.5,1.94,Clear
25.47,65.9,32.74,40.64,15.32,1007.57,3.79,8.77,7.22,Clear
15.42,69.29,11.38,322.62,8.46,1027.47,12.72,1.8,74.27,Rain
33.64,74.22,17.46,195.96,25.55,987.32,-1.36,12.65,12.96,Clear
12.36,36.12,4.55,92.84,2.43,989.42,5.26,8.47,91.61,Rain
31.32,64.27,12.82,62.05,25.93,1019.07,1.44,10.17,2.86,Clear
15.29,32.83,38.53,284.19,8.3,1005.5,6.2,9.99,57.74,Cloudy
-3.58,75.36,31.51,277.35,-7.5,1038.28,20.57,3.47,79.5,Snow
20.54,51.05,18.5,320.36,14.93,1005.47,-0.1,6.23,75.2,Cloudy
28.0,45.69,26.96,213.03,18.7,1016.83,24.11,1.33,91.74,Thunderstorm
31.49,70.8,20.22,114.9,22.38,1005.43,1.19,11.74,4.83,Clear
4.07,87.84,6.56,216.14,-3.04,991.03,9.43,6.53,70.04,Snow
25.54,48.6,15.23,-3.33,20.42,1010.24,75.8,1.81,78.93,Thunderstorm
22.53,52.71,22.37,229.21,12.21,1019.03,6.22,7.68,55.68,Cloudy
32.59,35.88,19.27,31.92,27.0,992.4,-3.66,14.84,4.72,Clear
14.71,41.96,23.52,71.84,6.47,999.41,36.34,5.45,69.9,Rain
23.83,55.85,6.96,308.07,20.62,997.48,39.16,3.34,84.93,Rain
16.3,53.7,39.52,61.49,11.11,1031.55,16.11,3.69,86.1,Rain
33.98,57.6,8.0,317.68,26.96,1034.04,-5.66,9.68,18.65,Clear
19.0,83.89,15.44,6.9,10.35,1020.49,11.69,3.47,89.14,Rain
22.63,89.0,5.78,97.27,20.21,996.92,-4.78,8.63,76.75,Cloudy
33.18,68.95,22.78,45.49,30.9,1022.71,0.69,14.53,18.04,Clear
21.99,56.02,42.17,20.36,12.01,1019.79,32.74,8.39,98.02,Rain
29.28,74.18,22.23,30.71,21.42,1015.01,13.67,3.68,87.89,Thunderstorm
25.82,35.91,3.1,203.59,18.33,1024.94,54.72,5.37,94.38,Thunderstorm
25.28,34.88,10.27,70.36,24.01,1005.95,3.31,6.9,76.53,Cloudy
29.52,59.41,9.63,96.68,22.52,996.33,-3.1,8.63,57.94,Cloudy
32.47,39.19,31.51,64.88,28.18,1013.85,64.33,2.05,80.87,Thunderstorm
32.47,80.43,19.56,143.22,28.79,1003.75,66.41,4.4,90.72,Thunderstorm
23.4,61.15,36.93,247.56,14.84,1013.93,74.93,3.93,87.74,Thunderstorm
19.39,35.75,27.7,304.43,12.44,1022.62,63.98,3.61,90.88,Thunderstorm
19.51,52.1,34.9,343.04,16.61,998.73,5.29,4.29,75.83,Rain
20.28,40.9,-1.88,116.16,12.45,997.48,1.55,0.94,93.59,Fog
30.67,51.81,5.64,337.29,23.38,1008.26,-0.1,13.77,-1.36,Clear
16.62,64.01,9.63,287.7,8.33,1002.15,47.52,6.75,69.02,Rain
15.56,54.27,21.89,281.43,9.04,1014.95,19.99,5.23,95.17,Rain
10.54,33.2,37.32,183.14,3.02,1003.79,-2.43,3.72,89.3,Rain
19.8,37.91,25.45,323.6,13.85,1014.49,77.89,2.92,86.34,Thunderstorm
27.12,68.93,26.75,14.14,24.51,1003.55,1.95,8.17,65.09,Cloudy
13.85,65.68,-0.23,177.59,6.47,1007.48,0.18,1.15,99.61,Fog
25.84,87.21,15.53,225.62,22.37,1025.66,7.06,5.43,85.03,Cloudy
24.13,81.59,19.75,203.37,19.85,1020.04,67.01,3.43,98.84,Thunderstorm
20.11,59.23,32.74,93.05,11.86,1021.39,4.51,12.76,-0.54,Clear
20.95,80.67,4.6,330.68,14.07,1024.17,6.57,8.85,17.2,Clear
22.7,65.69,0.05,244.74,16.16,1015.6,-1.27,9.07,89.98,Cloudy
25.37,58.6,38.38,235.02,17.91,1006.95,2.21,9.18,87.97,Cloudy
29.15,78.85,15.13,249.57,21.59,1024.76,53.07,2.06,90.27,Thunderstorm
20.94,49.12,3.55,244.14,15.02,1011.48,1.31,4.84,63.99,Cloudy
23.33,79.65,31.46,-2.56,21.53,1011.75,5.39,6.04,66.52,Cloudy
25.52,60.09,25.71,95.55,21.97,1017.46,0.48,12.26,8.42,Clear
3.17,57.53,28.03,226.16,-6.39,1017.73,30.16,2.29,88.52,Snow
24.43,37.22,18.59,67.59,15.02,998.82,13.83,3.51,83.33,Thunderstorm
23.91,40.53,15.74,264.11,13.32,1016.26,-4.22,6.14,55.56,Cloudy
24.03,55.95,30.42,205.81,16.89,1007.13,2.37,15.25,13.92,Clear
16.09,83.56,25.81,180.8,10.95,1027.03,-0.4,6.37,94.82,Cloudy
27.69,62.48,27.98,305.85,19.19,1000.26,-0.89,6.22,69.82,Cloudy
22.01,65.97,22.83,297.77,11.87,1009.75,6.28,8.6,52.07,Cloudy
29.96,90.23,30.69,323.01,24.26,1025.46,0.21,10.15,2.17,Clear
23.42,68.56,16.17,180.4,20.83,1018.85,-5.11,13.39,7.1,Clear
31.88,40.06,3.68,42.14,29.4,1001.67,2.2,10.37,9.65,Clear
33.15,40.09,18.53,272.18,30.91,1008.36,-3.59,11.23,-2.86,Clear
18.4,54.59,21.64,291.91,11.87,1012.32,3.4,0.62,98.01,Fog
32.24,51.18,16.03,288.87,22.95,1028.29,68.67,1.3,85.85,Thunderstorm
23.83,37.68,0.31,18.05,15.66,1024.53,4.34,7.74,52.15,Cloudy
20.76,26.24,37.49,280.66,15.18,1016.64,32.91,3.09,91.48,Rain
14.28,78.63,24.03,134.62,10.25,1003.54,3.55,1.43,87.58,Fog
26.4,83.29,36.37,98.46,21.33,1022.35,26.51,5.73,76.84,Thunderstorm
31.84,42.88,35.02,197.92,25.41,1020.54,5.17,12.92,2.74,Clear
24.38,84.7,17.86,75.11,16.72,1008.7,-5.38,12.49,11.34,Clear
